bank_txn_id,transaction_date,transaction_type,flow_direction,counterparty,amount,currency
BNK0000312,2025-04-15,Customer Receipt,Inflow, Smart Office Group,1302.96,eur
BNK0000313,2025-03-14,Customer Receipt,Inflow,Emma Dubois,907.9,EUR
BNK0000314,2025-04-05,Customer Receipt,Inflow,Florian Girard,751.01,EUR
BNK0000315,2025-04-28,Customer Receipt,Inflow,Smart Office Group,487.92,EUR
BNK0000316,2025-05-26,Customer Receipt,Inflow,Smart Office Holding,1209.08,EUR
BNK0000317,2025-05-19,Customer Receipt,Inflow,Optima Conseil Services,1576.71,EUR
BNK0000318,2025-04-18,Customer Receipt,Inflow,Atlas Trading Group,217.26,EUR
BNK0000319,2025-05-19,Customer Receipt,Inflow,Antoine Petit,424.89,EUR
BNK0000320,2025-04-19,Customer Receipt,Inflow,Antoine Leroy,5319.73,EUR
BNK0000321,2025-06-14,Customer Receipt,Inflow,Antoine Dupont,1107.61,EUR
BNK0000322,2025-05-24,Customer Receipt,Inflow,Kora Logistics SARL,618.99,EUR
BNK0000323,2025-05-11,Customer Receipt,Inflow,Hexa Services SARL,N/A,EUR
BNK0000324,2025-06-12,Customer Receipt,Inflow,CHLOE MOREAU,280.66,EUR
BNK0000325,2025-04-30,Customer Receipt,Inflow,Salome Bonnet,1369.69,EUR
BNK0000326,2025-04-26,Customer Receipt,Inflow,Morgane Vincent,193.36,EUR
BNK0000327,2025-06-12,Customer Receipt,Inflow,Antoine Dupont,579.96,EUR
BNK0000328,2025-06-03,Customer Receipt,Inflow,Benoit Bamba,261.0,EUR
BNK0000329,2025-05-29,Customer Receipt,Inflow,Chloe Robert,542.67,EUR
BNK0000330,2025-05-30,Customer Receipt,Inflow,Antoine Diallo,302.46,EUR
BNK0000331,2025-05-15,Customer Receipt,Inflow,Urban Motion SAS,774.54,EUR
BNK0000332,2025-05-06,Customer Receipt,Inflow,Nova Retail Group,1658.76,EUR
BNK0000333,2025-04-29,Customer Receipt,Inflow,Florian Legrand,1590.78,EUR
BNK0000334,2025-05-03,Customer Receipt,Inflow,Azur Concept SARL,2708.5,EUR
BNK0000335,2025-05-29,Customer Receipt,Inflow,Salome Bonnet,1033.78,EUR
BNK0000336,2025-04-26,Customer Receipt,Inflow,Bati Plus Holding,365.9,EUR
BNK0000337,2025-05-18,Customer Receipt,Inflow,Camille Richard,432.3,EUR
BNK0000338,2025-05-18,Customer Receipt,Inflow,Julie Roux,132.0,EUR
BNK0000339,2025-04-19,Customer Receipt,Inflow,Mediterra Shop Holding,7631.35,EUR
BNK0000340,2025-06-13,Customer Receipt,Inflow,camille richard,40.99,EUR
BNK0000341,2025-04-26,Customer Receipt,Inflow,Yassine Legrand,202.88,EUR
BNK0000342,2025-04-23,Customer Receipt,Inflow,Atlas Trading Group,360.02,EUR
BNK0000343,2025-05-30,Customer Receipt,Inflow,Optima Conseil Holding,329.08,EUR
BNK0000344,2025-04-24,Customer Receipt,Inflow,Florian Legrand,342.38,EUR
BNK0000345,2025-05-12,Customer Receipt,Inflow,Sarah Petit,212.77,EUR
BNK0000346,2025-05-16,Customer Receipt,Inflow,Nicolas Laurent,671.44,EUR
BNK0000347,2025-05-12,Customer Receipt,Inflow,Azur Concept SARL,787.44,EUR
BNK0000348,2025-04-12,Customer Receipt,Inflow,Blue Horizon Holding,1493.11,EUR
BNK0000349,2025-05-30,Customer Receipt,Inflow,Bati Plus Group,65.91,EUR
BNK0000350,2025-04-15,Customer Receipt,Inflow,Urban Motion SARL,470.2,EUR
BNK0000351,2025-04-04,Customer Receipt,Inflow,Salome Moreau,352.64,EUR
BNK0000352,2025-04-12,Customer Receipt,Inflow,Alpha Partners SAS,477.2,EUR
BNK0000353,2025-06-18,Customer Receipt,Inflow,Louis Petit,367.8,EUR
BNK0000354,2025-05-29,Customer Receipt,Inflow,Maxime Bertrand,198.93,EUR
BNK0000355,2025-04-10,Customer Receipt,Inflow,Ahmed Lopez,140.34,EUR
BNK0000356,2025-04-18,Customer Receipt,Inflow,Prestige Home SAS,134.41,EUR
BNK0000357,2025-04-27,Customer Receipt,Inflow,Jade Richard,3414.15,EUR
BNK0000358,2025-05-18,Customer Receipt,Inflow,Elite Habitat Holding,2526.53,EUR
BNK0000359,2025-05-24,Customer Receipt,Inflow,Florian Girard,111.15,EUR
BNK0000360,2025-05-30,Customer Receipt,Inflow,Antoine Petit,241.62,EUR
BNK0000361,2025-04-26,Customer Receipt,Inflow,Yassine Konate,90.56,EUR
BNK0000362,2025-05-12,Customer Receipt,Inflow,Hexa Services SARL,725.24,EUR
BNK0000363,2025-04-30,Customer Receipt,Inflow,Chloe Bamba,147.76,EUR
BNK0000364,2025-04-23,Customer Receipt,Inflow,Riviera Supply Group,311.89,EUR
BNK0000365,2025-05-29,Customer Receipt,Inflow,Mariam Garcia,1625.97,EUR
BNK0000366,2025-05-16,Customer Receipt,Inflow,Antoine Diallo,5234.69,EUR
BNK0000367,2025-05-13,Customer Receipt,Inflow,Nicolas Laurent,9536.68,EUR
BNK0000368,2025-04-30,Customer Receipt,Inflow,Riviera Supply Group,143.7,EUR
BNK0000369,2025-05-31,Customer Receipt,Inflow,Kevin Traore,1173.0,EUR
BNK0000370,2025-04-21,Customer Receipt,Inflow,Mediterra Shop Holding,581.4,EUR
BNK0000371,2025-05-15,Customer Receipt,Inflow,Florian Girard,582.46,EUR
BNK0000372,2025-04-24,Customer Receipt,Inflow,Smart Office Holding,N/A,EUR
BNK0000373,2025-05-29,Customer Receipt,Inflow,Smart Office Group,736.53,EUR
BNK0000374,2025-04-26,Customer Receipt,Inflow,Riviera Supply Group,822.06,EUR
BNK0000375,2025-04-02,Customer Receipt,Inflow,Fatou Garcia,1064.36,EUR
BNK0000376,2025-05-18,Customer Receipt,Inflow,Kora Logistics SARL,7299.11,EUR
BNK0000377,2025-04-15,Customer Receipt,Inflow,Fatou Robert,1203.93,EUR
BNK0000378,26/05/2025,Customer Receipt,Inflow,Thomas Thomas,684.11,EUR
BNK0000379,2025-04-05,Customer Receipt,Inflow,Laura Diallo, 2543.43 ,EUR
BNK0000380,2025-04-18,Customer Receipt,Inflow,Vision Commerce Services,359.73,EUR
BNK0000381,2025-04-10,Customer Receipt,Inflow,Blue Horizon SARL,637.23,EUR
BNK0000382,2025-04-13,Customer Receipt,Inflow,Blue Horizon Holding,341.38,EUR
BNK0000383,2025-05-22,Customer Receipt,Inflow,Hugo Lefevre,778.13,EUR
BNK0000384,2025-04-05,Customer Receipt,Inflow,Lucie Bertrand,89.26,EUR
BNK0000385,2025-05-03,Customer Receipt,Inflow,Julie Roux,527.94,EUR
BNK0000386,2025-04-08,Customer Receipt,Inflow,Atlas Trading SARL,906.54,EUR
BNK0000387,2025-05-27,Customer Receipt,Inflow,Lea Lambert,4093.67,EUR
BNK0000388,2025-05-15,Customer Receipt,Inflow,Camille Bertrand, 4324.0 ,EUR
BNK0000389,2025-05-17,Customer Receipt,Inflow,Chloe Robert,2098.41,EUR
BNK0000390,2025-04-06,Customer Receipt,Inflow,Chloe Legrand,N/A,EUR
BNK0000391,2025-05-09,Customer Receipt,Inflow,Brahim Thomas,87.89,EUR
BNK0000392,2025-05-24,Customer Receipt,Inflow,Thomas Dubois,1068.33,EUR
BNK0000393,2025-04-22,Customer Receipt,Inflow,Ahmed Lopez,2449.47,EUR
BNK0000394,2025-05-24,Customer Receipt,Inflow,Salome Michel,2804.86,EUR
BNK0000395,2025-05-19,Customer Receipt,Inflow,Soleil Distribution Services,192.92,EUR
BNK0000396,2025-04-11,Customer Receipt,Inflow,Dylan Lambert,2453.85,EUR
BNK0000397,2025-04-17,Customer Receipt,Inflow,Atlas Trading Group,4710.46,EUR
BNK0000398,2025-05-08,Customer Receipt,Inflow,Maxime Bertrand,319.34,EUR
BNK0000399,2025-04-09,Customer Receipt,Inflow,Urban Motion SARL,91.26,EUR
BNK0000400,N/A,Customer Receipt,Inflow,Elodie Girard,"119,29",EUR
  BNK0000401  ,2025-05-08,Customer Receipt,Inflow,Azur Concept SARL,141.07,EURO
BNK0000402,2025-05-01,Customer Receipt,Inflow,Salome Traore,415.1,EUR
BNK0000403,2025-05-20,Customer Receipt,Inflow,Kevin Traore,354.72,EUR
BNK0000404,2025-04-07,Customer Receipt,Inflow,Delta Market Holding,702.87,EUR
BNK0000405,2025-04-22,Customer Receipt,Inflow,Atlas Trading Group,388.56, Eur 
BNK0000406,2025-06-13,Customer Receipt,Inflow,Soleil Distribution Group,1227.55,EUR
BNK0000407,2025-05-25,Customer Receipt,Inflow,Louis Vincent,3500.41,EUR
BNK0000408,2025-05-14,Customer Receipt,Inflow,Smart Office Services,570.68,EUR
BNK0000409,2025-05-27,Customer Receipt,Inflow,Julie Lefevre,783.83,EUR
BNK0000410,2025-04-13,Customer Receipt,Inflow,Elodie Girard,126.4,EUR
BNK0000411,2025-04-25,Customer Receipt,Inflow,Salome Moreau,2805.68,EUR
BNK0000412,2025-05-08,Customer Receipt,Inflow,Laura Bertrand,1328.92,EUR
BNK0000413,2025-05-29,Customer Receipt,Inflow,Urban Motion SAS,559.34,EUR
BNK0000414,2025-04-08,Customer Receipt,Inflow,Urban Motion SARL,2525.46,EUR
BNK0000415,2025-05-27,Customer Receipt,Inflow,Urban Motion Sas,45.69,EUR
BNK0000416,2025-05-09,Customer Receipt,Inflow,Vision Commerce Group,1708.72,EUR
BNK0000417,2025-04-28,Customer Receipt,Inflow,Noemie Vincent,536.17,EUR
BNK0000418,2025-04-01,Customer Receipt,Inflow,Delta Market Holding,3789.23,EUR
BNK0000419,2025-05-21,Customer Receipt,Inflow,Bati Plus Group,1045.93,EUR
BNK0000420,2025-05-19,Customer Receipt,Inflow,Florian Girard,79.35,EUR
BNK0000421,2025-06-01,Customer Receipt,Inflow,Optima Conseil Group,3479.08,EUR
BNK0000422,2025-06-01,Customer Receipt,Inflow,Fatou Bonnet,1153.9,EUR
BNK0000423,2025-06-07,Customer Receipt,Inflow,Soleil Distribution SARL,4898.93,EUR
BNK0000424,2025-05-23,Customer Receipt,Inflow,Thomas Dubois,687.46,EUR
BNK0000425,2025-05-31,Customer Receipt,Inflow,Kora Logistics SARL,125.6,EUR
BNK0000426,2025-04-07,Customer Receipt,Inflow,Yassine Legrand,3614.55,EUR
BNK0000427,2025-06-11,Customer Receipt,Inflow,Ahmed Bertrand,4147.7,EUR
BNK0000428,2025-05-16,Customer Receipt,Inflow,Bati Plus Group,324.09,EUR
BNK0000429,2025-04-07,Customer Receipt,Inflow,Mediterra Shop Holding,172.96,EUR
BNK0000430,2025-05-19,Customer Receipt,Inflow,Julie Roux,473.15,EUR
BNK0000431,2025-05-31,Customer Receipt,Inflow,Azur Concept SARL,148.82,EUR
BNK0000432,2025-05-29,Customer Receipt,Inflow,Azur Concept Services,22.0,EUR
BNK0000433,2025-04-28,Customer Receipt,Inflow,Lucie Bertrand,148.44,EUR
BNK0000434,2025-05-31,Customer Receipt,Inflow,Louis Petit,1478.01,EUR
BNK0000435,2025-04-14,Customer Receipt,Inflow,Urban Motion Services,655.95,EUR
BNK0000436,2025-06-06,Customer Receipt,Inflow,Mariam Garcia,2373.52,EUR
BNK0000437,2025-05-09,Customer Receipt,Inflow,Elite Habitat Services,3554.54,EUR
BNK0000438,2025-06-18,Customer Receipt,Inflow,Florian Robert,257.08,EUR
BNK0000439,2025-06-18,Customer Receipt,Inflow,Optima Conseil Services,80.69,EURO
BNK0000440,21-06-2025,Customer Receipt,Inflow,Laura Bertrand,962.77,eur
BNK0000441,2025-06-22,Customer Receipt,Inflow,Optima Conseil Holding,265.36,EUR
BNK0000442,2025-06-18,Customer Receipt,Inflow,Thomas Dupont,481.19,eur
BNK0000443,2025-06-02,Customer Receipt,Inflow,Aicha Francois,1082.29,EUR
BNK0000444,2025-06-18,Customer Receipt,Inflow,Atlas Trading Holding,1653.1,EUR
BNK0000445,2025-05-23,Customer Receipt,Inflow,Noemie Leroy,296.27,EUR
BNK0000446,2025-05-17,Customer Receipt,Inflow,Mediterra Shop Holding,41.92,EUR
BNK0000447,2025-07-04,Customer Receipt,Inflow,Nicolas Durand,463.23,EUR
BNK0000448,2025-05-12,Customer Receipt,Inflow,Yassine Legrand,2540.73,EUR
BNK0000449,2025-05-23,Customer Receipt,Inflow,Atlas Trading SARL,268.56,EUR
BNK0000450,2025-06-05,Customer Receipt,Inflow,Louis Lambert,1728.59,EUR
BNK0000451,2025-06-12,Customer Receipt,Inflow,Sarah Robert,2233.04,EUR
BNK0000452,2025-05-15,Customer Receipt,Inflow,Yassine Legrand,341.2,EUR
BNK0000453,2025-06-17,Customer Receipt,Inflow,Soleil Distribution Group,520.43,EUR
BNK0000454,2025-06-01,Customer Receipt,Inflow,Karim Dupont,3840.64,EUR
BNK0000455,2025-05-21,Customer Receipt,Inflow,Fatou Robert,935.39,EUR
BNK0000456,2025-05-19,Customer Receipt,Inflow,Prestige Home SAS,1772.82,EUR
BNK0000457,2025-07-12,Customer Receipt,Inflow,Camille Richard,37.95,EUR
BNK0000458,2025-05-07,Customer Receipt,Inflow,Elite Habitat Services,2023.72,EUR
BNK0000459,2025-05-05,Customer Receipt,Inflow,Yassine Konate,3212.4,EUR
BNK0000460,2025-06-16,Customer Receipt,Inflow,Elodie Martinez,2255.53,EURO
BNK0000461,2025-05-30,Customer Receipt,Inflow,N/A,323.23,EUR
BNK0000462,2025-07-04,Customer Receipt,Inflow,Atlas Trading Services,196.94,EUR
BNK0000463,2025-05-17,Customer Receipt,Inflow,Hexa Services Group,713.0,EUR
BNK0000464,2025-05-25,Customer Receipt,Inflow,Chloe Legrand,2247.22,EUR
BNK0000465,2025-06-28,Customer Receipt,Inflow,Smart Office Holding,577.96,EUR
BNK0000466,2025-07-20,Customer Receipt,Inflow,Urban Motion SAS,2238.26,EUR
BNK0000467,2025-06-21,Customer Receipt,Inflow,Sarah Bernard,348.27,EUR
BNK0000468,2025-06-30,Customer Receipt,Inflow,Sarah Bernard,1081.58,EUR
BNK0000469,2025-06-11,Customer Receipt,Inflow,Maxime Bertrand,1462.06,EUR
BNK0000470,2025-05-12,Customer Receipt,Inflow,Riviera Supply Group,467.5,EUR
BNK0000471,2025-05-18,Customer Receipt,Inflow,Atlas Trading Group, 259.76 ,EUR
BNK0000472,2025-05-04,Customer Receipt,Inflow,Ahmed Lopez,1194.84,EUR
BNK0000473,2025-05-13,Customer Receipt,Inflow,Noemie Leroy,1956.08,EUR
BNK0000474,2025-07-02,Customer Receipt,Inflow,Antoine Petit,726.36,EUR
BNK0000475,2025-06-17,Customer Receipt,Inflow,Louis Petit,91.43,EUR
BNK0000476,2025-06-20,Customer Receipt,Inflow,Camille Diallo,527.85,EUR
BNK0000477,2025-05-10,Customer Receipt,Inflow,Ahmed Lopez,4613.6,EUR
BNK0000478,2025-05-04,Customer Receipt,Inflow,Yassine Konate,9570.51,EUR
BNK0000479,2025-06-12,Customer Receipt,Inflow,Brahim Leroy,706.89,EUR
BNK0000480,2025-05-14,Customer Receipt,Inflow,Julie Diop,476.97,EUR
BNK0000481,2025-06-20,Customer Receipt,Inflow,Fatou Bonnet,846.48,EUR
BNK0000482,2025-07-02,Customer Receipt,Inflow,Thomas Thomas,926.6,EUR
BNK0000483,2025-07-02,Customer Receipt,Inflow,Vision Commerce Group,656.41,EUR
BNK0000484,2025-07-16,Customer Receipt,Inflow,Ahmed Bertrand,3170.74,EUR
BNK0000485,2025-05-15,Customer Receipt,Inflow,Ines Simon,3697.8,EUR
BNK0000486,2025-05-05,Customer Receipt,Inflow,Urban Motion Services,1059.7,EUR
BNK0000487,2025-06-10,Customer Receipt,Inflow,Camille Bertrand,272.27,EUR
BNK0000488,2025-05-17,Customer Receipt,Inflow,Alpha Partners SAS,241.72,EUR
BNK0000489,2025-05-10,Customer Receipt,Inflow,Atlas Trading SAS,1062.82,EUR
BNK0000490,2025-05-21,Customer Receipt,Inflow,urban motion services ,99.84,EUR
BNK0000491,2025-07-17,Customer Receipt,Inflow,Optima Conseil Group,39.39,EUR
BNK0000492,2025-05-15,Customer Receipt,Inflow,Smart Office Group,2478.72,EUR
BNK0000493,2025-06-16,Customer Receipt,Inflow,Sarah Bernard,3330.51,EUR
BNK0000494,2025-06-29,Customer Receipt,Inflow,Elite Habitat Holding,1091.45,EUR
BNK0000495,2025-06-21,Customer Receipt,Inflow,Dylan Chevalier,566.41,EUR
BNK0000496,2025-06-25,Customer Receipt,Inflow,  Hexa Services SARL  ,"267,36",EUR
BNK0000497,2025-05-30,Customer Receipt,Inflow,Azur Concept Services,506.74,EUR
BNK0000498,2025-05-07,Customer Receipt,Inflow,Julie Diop,83.28,EUR
BNK0000499,2025-05-14,Customer Receipt,Inflow,Bati Plus Holding,610.92,EUR
BNK0000500,2025-05-13,Customer Receipt,Inflow,Cap Sud Equipement Holding,4859.55,EUR
BNK0000501,2025-06-19,Customer Receipt,Inflow,Optima Conseil Services,906.66,EUR
BNK0000502,2025-05-30,Customer Receipt,Inflow,Soleil Distribution SAS,290.52,EUR
BNK0000503,2025-07-08,Customer Receipt,Inflow,Topline Solutions SAS,756.41,EUR
BNK0000504,2025-06-01,Customer Receipt,Inflow,Emma Bernard,175.47,EUR
BNK0000505,2025-06-06,Customer Receipt,Inflow,Riviera Supply Holding,1744.83,EUR
BNK0000506,2025-05-29,Customer Receipt,Inflow,Yassine Legrand,1237.34,EUR
BNK0000507,2025-06-16,Customer Receipt,Inflow,Vision Commerce Group,251.88,EUR
BNK0000508,2025-06-18,Customer Receipt,Inflow,Vision Commerce Group,62.54,EUR
BNK0000509,2025-05-15,Customer Receipt,Inflow,Salome Moreau,215.54,EUR
BNK0000510,2025-06-25,Customer Receipt,Inflow,Atlas Trading Holding,833.69,EUR
BNK0000511,09/06/2025,Customer Receipt,Inflow,Kevin Traore,"130,01",EUR
BNK0000512,2025-06-10,Customer Receipt,Inflow,Clara Roux,1011.76,EUR
BNK0000513,2025-05-31,Customer Receipt,Inflow,Louis Vincent,313.63,EUR
BNK0000514,2025-06-11,Customer Receipt,Inflow,Salome Diallo,530.52,EUR
BNK0000515,2025-05-05,Customer Receipt,Inflow,Laura Diallo,3079.45,EUR
BNK0000516,2025-06-03,Customer Receipt,Inflow,Atlas Trading Holding,355.34,EUR
BNK0000517,2025-05-26,Customer Receipt,Inflow,Ines Simon,320.72,EUR
BNK0000518,2025-05-31,Customer Receipt,Inflow,Smart Office Services,383.78,EUR
BNK0000519,2025-05-29,Customer Receipt,Inflow,Laura Diallo,3513.15,EUR
BNK0000520,2025-05-07,Customer Receipt,Inflow,Riviera Supply Group,2124.56,EUR
BNK0000521,2025-07-10,Customer Receipt,Inflow,Antoine Diallo,98.44,EUR
BNK0000522,2025-05-23,Customer Receipt,Inflow,Noemie Vincent,3753.37,EUR
BNK0000523,2025-06-01,Customer Receipt,Inflow,Prestige Home SAS,634.22,EUR
BNK0000524,2025-05-14,Customer Receipt,Inflow,Bati Plus Group,1636.26,EUR
BNK0000525,2025-06-28,Customer Receipt,Inflow,Brahim Thomas,68.56,EUR
BNK0000526,2025-05-22,Customer Receipt,Inflow,Blue Horizon Holding,91.72,EUR
BNK0000527,17-06-2025,Customer Receipt,Inflow,Salome Diallo,171.19,EUR
BNK0000528,2025-06-16,Customer Receipt,Inflow,Camille Bertrand,127.95,EUR
BNK0000529,2025-06-07,Customer Receipt,Inflow,Camille Petit,505.01,EUR
BNK0000530,2025-06-12,Customer Receipt,Inflow,Thomas Martin,1346.04,EUR
BNK0000531,28/06/2025,Customer Receipt,Inflow,Laura Bertrand,125.0,EUR
BNK0000532,2025-05-18,Customer Receipt,Inflow,Cap Sud Equipement SARL,22.97,EUR
BNK0000533,2025-07-04,Customer Receipt,Inflow,Kora Logistics SARL,2386.03,EUR
BNK0000534,2025-05-05,Customer Receipt,Inflow,Cap Sud Equipement SAS,209.99,EUR
BNK0000535,2025-06-13,Customer Receipt,Inflow,Brahim Thomas,2840.11,EUR
BNK0000536,2025-06-08,Customer Receipt,Inflow,Riviera Supply SAS,44.55,EUR
BNK0000537,2025-06-25,Customer Receipt,Inflow,Elite Habitat SARL,407.52,EUR
BNK0000538,2025-05-31,Customer Receipt,Inflow,Mehdi Moreau,195.93,EUR
BNK0000539,2025-05-28,Customer Receipt,Inflow,Atlas Trading Holding,837.14,EUR
BNK0000540,2025-06-17,Customer Receipt,Inflow,Atlas Trading Holding,1437.66,EUR
BNK0000541,2025-06-25,Customer Receipt,Inflow,Lea Lambert,454.32,EUR
BNK0000542,01/07/2025,Customer Receipt,Inflow,Elite Habitat SARL,335.85,EUR
BNK0000543,2025-05-02,Customer Receipt,Inflow,Atlas Trading Group,1251.22,EUR
BNK0000544,2025-07-06,Customer Receipt,Inflow,Camille Richard,77.33,EUR
BNK0000545,2025-05-08,Customer Receipt,Inflow,Smart Office Group,1663.76,EUR
BNK0000546,2025-06-01,Customer Receipt,Inflow,Yassine Legrand,421.12,EUR
BNK0000547,2025-06-16,Customer Receipt,Inflow,Antoine Dupont,264.61,EUR
BNK0000548,2025-06-03,Customer Receipt,Inflow,Nicolas Laurent,1661.23,EUR
BNK0000549,2025-06-12,Customer Receipt,Inflow,Atlas Trading Holding,5164.96,EUR
BNK0000550,2025-05-20,Customer Receipt,Inflow,Chloe Legrand,549.92,EUR
BNK0000551,2025-05-25,Customer Receipt,Inflow,Alpha Partners SAS,123.59,EUR
BNK0000552,2025-05-31,Customer Receipt,Inflow,Alpha Partners Group,3425.28,EUR
BNK0000553,2025-06-07,Customer Receipt,Inflow,Paul Leroy,189.54,EUR
BNK0000554,2025-05-02,Customer Receipt,Inflow,Salome Moreau,1130.53,EUR
BNK0000555,2025-06-19,Customer Receipt,Inflow,Clara Roux,562.06,EUR
BNK0000556,2025-06-22,Customer Receipt,Inflow,Mediterra Shop Holding,180.55,EUR
BNK0000557,2025-06-17,Customer Receipt,Inflow,Camille Diallo,193.28,EUR
BNK0000558,2025-05-24,Customer Receipt,Inflow,Urban Motion Services,909.84,EUR
BNK0000559,2025-05-24,Customer Receipt,Inflow,Emma Bernard,2591.01,EUR
BNK0000560,2025-06-12,Customer Receipt,Inflow,Thomas Dubois,1769.22,EUR
BNK0000561,2025-05-10,Customer Receipt,Inflow,Mehdi Moreau,1540.38,EUR
BNK0000562,2025-05-24,Customer Receipt,Inflow,Dylan Traore,5913.77,EUR
BNK0000563,2025-06-24,Customer Receipt,Inflow,Sarah Petit,603.01,EUR
BNK0000564,2025-07-22,Customer Receipt,Inflow,Salome Diallo,539.6,EUR
BNK0000565,2025-06-22,Customer Receipt,Inflow,Urban Motion SARL,45.64,EUR
BNK0000566,2025-08-12,Customer Receipt,Inflow,Camille Garnier,2426.06,EUR
BNK0000567,08-06-2025,Customer Receipt,Inflow,Fatou Bonnet,300.92,EUR
BNK0000568,2025-06-30,Customer Receipt,Inflow,Atlas Trading Holding,3197.24,EUR
BNK0000569,2025-08-02,Customer Receipt,Inflow,Paul Konate,2051.75,EUR
BNK0000570,2025-07-25,Customer Receipt,Inflow,Soleil Distribution Group,189.31,EUR
BNK0000571,2025-06-07,Customer Receipt,Inflow,Noemie Vincent,908.49, Eur 
BNK0000572,2025-07-14,Customer Receipt,Inflow,Morgane Andre,97.5,EUR
BNK0000573,2025-08-09,Customer Receipt,Inflow,Cap Sud Equipement SAS,275.02,EUR
BNK0000574,2025-07-24,Customer Receipt,Inflow,Noemie Lefevre,547.79,EUR
BNK0000575,2025-07-31,Customer Receipt,Inflow,Camille Garnier,550.18,EUR
BNK0000576,2025-07-15,Customer Receipt,Inflow,Ahmed Bertrand,670.4,EUR
BNK0000577,2025-06-10,Customer Receipt,Inflow,Topline Solutions SARL,148.26,EUR
BNK0000578,2025-06-15,Customer Receipt,Inflow,Topline Solutions SARL,351.99,EUR
BNK0000579,2025-06-30,Customer Receipt,Inflow,Cap Sud Equipement Holding,2375.3,EUR
BNK0000580,2025-06-21,Customer Receipt,Inflow,Azur Concept Services,152.6,EUR
BNK0000581,2025-06-03,Customer Receipt,Inflow,Elite Habitat Services,393.52,EUR
BNK0000582,2025-07-20,Customer Receipt,Inflow,Florian Girard,243.86,EUR
BNK0000583,2025-06-05,Customer Receipt,Inflow,Cap Sud Equipement SARL,82.69,EUR
BNK0000584,2025-06-20,Customer Receipt,Inflow,Urban Motion SAS,1595.4,eur
BNK0000585,2025-06-27,Customer Receipt,Inflow,Chloe Lefevre,153.89,EUR
BNK0000586,N/A,Customer Receipt,Inflow,Julie Roux,2287.74,EUR
BNK0000587,2025-07-24,Customer Receipt,Inflow,Camille Bertrand,6986.48,EUR
BNK0000588,2025-07-06,Customer Receipt,Inflow,Chloe Robert,355.6,EUR
BNK0000589,2025-06-08,Customer Receipt,Inflow,Morgane Vincent,94.99,EUR
Bnk0000590,2025-06-04,Customer Receipt,Inflow,Nova Retail SAS,857.64,EUR
BNK0000591,2025-08-10,Customer Receipt,Inflow,Antoine Diallo,548.96,EUR
BNK0000592,2025-06-18,Customer Receipt,Inflow,Riviera Supply Group,214.62,EUR
BNK0000593,2025-07-19,Customer Receipt,Inflow,Bati Plus Group,288.22,EUR
BNK0000594,2025-06-07,Customer Receipt,Inflow,Jade Lopez,1645.26,EUR
BNK0000595,2025-08-08,Customer Receipt,Inflow,Cap Sud Equipement SAS,1297.95,EUR
BNK0000596,2025-06-30,Customer Receipt,Inflow,Brahim Morel,2113.18,EUR
BNK0000597,2025-06-08,Customer Receipt,Inflow,Karim Roux,1599.23,EUR
BNK0000598,2025-06-17,Customer Receipt,Inflow,Yassine Legrand,7512.7,EUR
BNK0000599,2025-07-05,Customer Receipt,Inflow,Riviera Supply SAS,3315.06,EUR
BNK0000600,2025-06-08,Customer Receipt,Inflow,Fatou Garcia,215.95,EUR
BNK0000601,2025-06-29,Customer Receipt,Inflow,Antoine Leroy,1633.72,EUR
BNK0000602,2025-07-20,Customer Receipt,Inflow,Florian Robert,1380.37,EUR
BNK0000603,2025-06-28,Customer Receipt,Inflow,Bati Plus SARL,2124.53,EUR
BNK0000604,2025-08-12,Customer Receipt,Inflow,Cap Sud Equipement SAS,1081.93,EUR
BNK0000605,2025-07-21,Customer Receipt,Inflow,Mariam Garcia,506.34,EUR
BNK0000606,2025-06-30,Customer Receipt,Inflow,Fatou Robert,44.33,EUR
BNK0000607,2025-07-18,Customer Receipt,Inflow,Riviera Supply SARL,162.32,EUR
BNK0000608,2025-07-31,Customer Receipt,Inflow,Julie Lefevre,568.37,EUR
BNK0000609,2025-06-28,Customer Receipt,Inflow,Laura Diallo,425.92,EUR
BNK0000610,2025-07-16,Customer Receipt,Inflow,Urban Motion SAS,2947.43,EUR
BNK0000611,2025-07-02,Customer Receipt,Inflow,Thomas Dupont,1790.08,EUR
BNK0000612,2025-07-23,Customer Receipt,Inflow,Riviera Supply SAS,383.79,EUR
BNK0000613,2025-06-30,Customer Receipt,Inflow,Elite Habitat Holding,2641.76,EUR
BNK0000614,21-07-2025,Customer Receipt,Inflow,Aurelien Lefevre,526.41,EUR
BNK0000615,2025-06-28,Customer Receipt,Inflow,Atlas Trading SAS,289.98,EUR
BNK0000616,2025-06-14,Customer Receipt,Inflow,Bati Plus Holding,4024.21,EUR
BNK0000617,2025-07-21,Customer Receipt,Inflow,Optima Conseil Group,183.23,EUR
BNK0000618,2025-06-23,Customer Receipt,Inflow,Mehdi Lambert,280.87,EUR
BNK0000619,2025-07-07,Customer Receipt,Inflow,Soleil Distribution Services,748.04,EUR
BNK0000620,2025-06-11,Customer Receipt,Inflow,Bati Plus SARL,12169.95,EUR
BNK0000621,2025-07-23,Customer Receipt,Inflow,Atlas Trading Services,1159.88,EUR
BNK0000622,2025-06-25,Customer Receipt,Inflow,Noemie Leroy,90.31,EUR
BNK0000623,2025-07-26,Customer Receipt,Inflow,Aurelien Lefevre,8122.57,EUR
